feature,importance
voc_early_delta_min,4.6106728538283035e-05
bme688_temperature_baseline_std,4.573568252482366e-05
scd40_co2_early_delta_max,4.5038705137227333e-05
nox_baseline_std,0.0
nox_early_mean,0.0
nox_baseline_mean,0.0
nox_early_delta_mean,0.0
nox_early_delta_min,0.0
nox_early_min,0.0
voc_early_mean,0.0
voc_early_min,0.0
voc_baseline_mean,0.0
voc_baseline_std,0.0
nox_early_std,0.0
sht40_humidity_early_max,0.0
sht40_humidity_early_ratio_mean,0.0
sht40_temperature_early_max,0.0
sht40_temperature_early_delta_min,0.0
mq3_voltage_baseline_mean,0.0
mq3_voltage_baseline_std,0.0
sht40_temperature_baseline_std,0.0
sht40_temperature_baseline_mean,0.0
sht40_temperature_early_mean,0.0
sht40_temperature_early_min,0.0
mq135_voltage_early_slope,0.0
nox_early_max,0.0
nox_early_ratio_mean,0.0
nox_early_delta_max,0.0
nox_early_ratio_max,0.0
nox_early_slope,0.0
nox_early_auc_abs_delta,0.0
nox_early_auc_delta,0.0
mq135_voltage_baseline_std,0.0
mq135_voltage_baseline_mean,0.0
bme688_temperature_early_min,0.0
bme688_temperature_early_delta_min,0.0
bme688_temperature_baseline_mean,0.0
bme688_temperature_early_mean,0.0
sht40_humidity_early_slope,0.0
sht40_humidity_early_delta_mean,0.0
sht40_humidity_early_delta_min,0.0
sht40_temperature_early_ratio_max,0.0
sht40_humidity_baseline_mean,0.0
sht40_temperature_early_auc_abs_delta,0.0
sht40_humidity_early_min,0.0
sht40_humidity_early_mean,0.0
bme688_iaq_early_delta_min,0.0
bme688_iaq_baseline_mean,0.0
bme688_iaq_baseline_std,0.0
bme688_iaq_early_min,0.0
bme688_humidity_early_delta_min,0.0
bme688_humidity_early_max,0.0
bme688_humidity_early_min,0.0
bme688_pressure_baseline_mean,0.0
bme688_pressure_early_std,0.0
bme688_pressure_early_max,0.0
bme688_pressure_early_mean,0.0
bme688_pressure_baseline_std,0.0
bme688_pressure_early_delta_min,0.0
bme688_pressure_early_delta_mean,0.0
bme688_pressure_early_ratio_max,0.0
bme688_pressure_early_delta_max,0.0
bme688_pressure_early_slope,0.0
bme688_pressure_early_auc_abs_delta,0.0
bme688_gas_resistance_baseline_mean,0.0
bme688_gas_resistance_baseline_std,0.0
bme688_co2_equivalent_early_min,0.0
bme688_co2_equivalent_baseline_std,0.0
bme688_co2_equivalent_baseline_mean,0.0
scd40_co2_early_ratio_mean,0.0
scd40_co2_early_std,0.0
scd40_co2_early_delta_min,0.0
scd40_co2_early_min,0.0
scd40_co2_early_max,0.0
bme688_breath_voc_equivalent_baseline_mean,0.0
bme688_breath_voc_equivalent_baseline_std,0.0
bme688_breath_voc_equivalent_early_min,0.0
bme688_co2_equivalent_early_delta_min,0.0
bme688_breath_voc_equivalent_early_delta_min,0.0
scd40_co2_early_mean,0.0
scd40_co2_baseline_mean,0.0
scd40_co2_baseline_std,0.0
scd40_temperature_early_min,0.0
scd40_temperature_early_max,0.0
scd40_temperature_early_delta_mean,0.0
scd40_temperature_early_delta_min,0.0
scd40_co2_early_auc_abs_delta,0.0
scd40_temperature_baseline_mean,0.0
scd40_temperature_baseline_std,0.0
scd40_temperature_early_mean,0.0
scd40_co2_early_slope,0.0
scd40_co2_early_auc_delta,0.0
scd40_co2_early_ratio_max,0.0
scd40_humidity_baseline_std,0.0
scd40_humidity_early_max,0.0
scd40_humidity_early_min,0.0
scd40_humidity_early_mean,0.0
scd40_humidity_early_delta_min,0.0
