feature,importance
scd40_co2_early_delta_max,9.900819318671845e-05
bme688_temperature_early_max,9.74970444181726e-05
sht40_humidity_early_ratio_max,9.63734049697784e-05
scd40_co2_early_mean,9.276542790881837e-05
bme688_pressure_baseline_std,7.494922139471904e-05
scd40_co2_early_ratio_max,7.398887851351557e-05
scd40_co2_early_delta_mean,5.463229951905476e-05
sht40_temperature_baseline_std,3.958620689655169e-05
bme688_gas_resistance_baseline_mean,3.904703799050607e-05
scd40_temperature_early_mean,3.899442724458202e-05
mq135_voltage_baseline_std,3.89468120149842e-05
scd40_temperature_early_delta_mean,3.883316341631866e-05
bme688_pressure_early_delta_min,3.8817412879828665e-05
bme688_temperature_early_mean,3.878719076675651e-05
sht40_temperature_early_auc_delta,3.8525831985700895e-05
scd40_temperature_baseline_std,3.836338890779181e-05
sht40_humidity_early_std,3.8347622759158204e-05
scd40_co2_early_auc_abs_delta,3.832384584466688e-05
sht40_humidity_baseline_mean,3.8244534412955514e-05
sht40_humidity_early_delta_min,3.821878701959494e-05
bme688_humidity_early_mean,3.8099486121565205e-05
sht40_humidity_early_min,3.804957271567229e-05
scd40_humidity_early_mean,3.799227799227798e-05
scd40_temperature_baseline_mean,3.792464257529321e-05
voc_early_min,3.776545842217482e-05
sht40_temperature_early_min,3.742554826146161e-05
bme688_gas_resistance_early_delta_max,3.741010649154193e-05
sht40_humidity_early_max,3.729649464676692e-05
bme688_gas_resistance_early_max,3.677447175506684e-05
nox_early_slope,3.576833854349102e-05
nox_early_auc_abs_delta,0.0
nox_early_max,0.0
nox_early_delta_mean,0.0
bme688_temperature_early_min,0.0
bme688_temperature_early_delta_min,0.0
bme688_temperature_baseline_std,0.0
bme688_temperature_baseline_mean,0.0
sht40_humidity_early_auc_delta,0.0
sht40_temperature_early_auc_abs_delta,0.0
sht40_temperature_early_ratio_mean,0.0
sht40_humidity_early_mean,0.0
sht40_humidity_baseline_std,0.0
sht40_temperature_early_ratio_max,0.0
sht40_temperature_early_mean,0.0
sht40_temperature_early_max,0.0
mq3_voltage_baseline_mean,0.0
mq3_voltage_baseline_std,0.0
nox_early_ratio_max,0.0
nox_early_auc_delta,0.0
nox_baseline_std,0.0
nox_baseline_mean,0.0
voc_baseline_mean,0.0
voc_early_delta_min,0.0
voc_baseline_std,0.0
nox_early_mean,0.0
nox_early_min,0.0
nox_early_std,0.0
nox_early_ratio_mean,0.0
nox_early_delta_max,0.0
nox_early_delta_min,0.0
bme688_humidity_early_max,0.0
bme688_humidity_early_min,0.0
bme688_humidity_early_delta_min,0.0
bme688_pressure_early_auc_abs_delta,0.0
bme688_gas_resistance_baseline_std,0.0
bme688_co2_equivalent_baseline_std,0.0
bme688_iaq_early_delta_min,0.0
bme688_iaq_baseline_std,0.0
bme688_iaq_baseline_mean,0.0
bme688_humidity_baseline_std,0.0
bme688_temperature_early_auc_abs_delta,0.0
bme688_pressure_early_std,0.0
bme688_pressure_baseline_mean,0.0
bme688_pressure_early_delta_mean,0.0
bme688_pressure_early_delta_max,0.0
bme688_pressure_early_ratio_max,0.0
bme688_pressure_early_ratio_mean,0.0
bme688_pressure_early_slope,0.0
bme688_pressure_early_auc_delta,0.0
bme688_co2_equivalent_early_delta_min,0.0
scd40_co2_baseline_std,0.0
scd40_co2_early_delta_min,0.0
scd40_co2_early_std,0.0
scd40_co2_early_min,0.0
scd40_co2_early_max,0.0
scd40_co2_baseline_mean,0.0
scd40_co2_early_auc_delta,0.0
scd40_temperature_early_min,0.0
scd40_co2_early_slope,0.0
scd40_temperature_early_ratio_mean,0.0
scd40_temperature_early_delta_min,0.0
scd40_humidity_early_max,0.0
scd40_humidity_baseline_std,0.0
scd40_temperature_early_auc_delta,0.0
scd40_humidity_early_min,0.0
scd40_humidity_baseline_mean,0.0
scd40_humidity_early_delta_min,0.0
